Date,Publisher,Identifiers,Accrual Campaign Name,Device,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-28,Sharechat Sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,2201201.0,14040.0,nan,nan,nan,nan,nan,nan,nan,56160.0
2023-12-29,Sharechat Sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,694238.0,5178.0,nan,nan,nan,nan,nan,nan,nan,20712.0
2023-12-30,Sharechat Sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,675182.0,5148.0,nan,nan,nan,nan,nan,nan,nan,20592.0
2023-12-31,Sharechat Sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,478004.0,3632.0,nan,nan,nan,nan,nan,nan,nan,14528.0
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Ahmedbad,,,,,,,12361.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Ahmedbad,,,,,,,5647.0,71.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Ahmedbad,,,,,,,3658.0,73.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Bangalore,,,,,,,12584.0,54.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Bangalore,,,,,,,8152.0,38.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Bangalore,,,,,,,6224.0,83.0,nan,nan,nan,nan,nan,nan,nan,nan
