Geos
Bangalore
Pan India
Delhi NCR
Mumbai
Hyderabad
Chennai
Kolkata
Mysore
Pune
Jaipur
Ahmedabad
Trivandrum
Vizag
Ludhiana
Nellore
Mangalore
Asansol
Rest of Geos
Thane
Lucknow
Bhubaneswar
Surat
Gandhinagar
Chandigarh
" Indore,Patna"
"Kochi, Coimbatore, Vizag"
"Vadodara, Nagpur"
Metros
RO C1
RO C1 - Non Prime Booster
Delhi
Metro
Metros (Minus Kolkata)
Mumbai 
Mumbai + Thane
T10 - Same as above
T47 - Ref. Geos Sheet
Pan-India
West Bengal
Maharashtra 
Tamil Nadu 
Karnataka 
AP+Tel 
Maharashtra
Tamil Nadu
Karnataka
AP+Tel
T10
T47
RO - C1 
"Maharashtra, Andhra Pradesh, Karnataka, HSM"
"Maharashtra, Andhra Pradesh, Tamil Nadu, Karnataka, HSM"
"Mumbai, Delhi NCR, Bangalore, Hyderabad, Kolkata, Chennai, Ahmedabad, Pune, Jaipur, Lucknow"
RO T57 - Ref. Geos Sheet
"Delhi NCR (Delhi, Gurgaon, Noida, Faridabad, Ghaziabad)"
"Mumbai (Mumbai, Thane, Navi Mumbai)"
Hyderabad (Hyderabad + Secunderabad)
Chennai (Chennai + Kanchipuram)
Next 32
Next 39
T14
P0 
P0
Rest of T57
T57
Telangana
"Bangalore, Hyderabad, Mumbai, Delhi NCR,"
RO India
Maharashtra + Goa
Andhra Pradesh/Telangana
Uttar Pradesh/Uttaranchal
Gujarat
Kerala
P2 Geos
Ind B
UP
MH
Pan India(HSM)
Pan India(Tamil)
Pan India(Telugu)
Pan India(South)
Ind A (T57) P0+P1
TN (Ind A)
AP+TL (Ind A)
KA (Ind A)
Social
Network
Utility
News
Entertainment
Tech
NA
"Indore,Patna"
Kochi
Coimbatore
RO C1(Excl South Geos)
Metros(Excl South Geos)
Metros & RO C1
"Delhi, Mumbai,Kolkata,Gurgaon,Noida,Jaipur,Ahmedabad,Patna,Thane,Chandigarh,Surat,Gandhinagar,Faridabad,Vadodara,Indore,Lucknow,Bhubaneshwar"
"Chennai, Coimbatore"
"Hyderabad, vishakapatnam"
"Pune,Nagpur"
Metros + RO C1(South excluded)
"Kochi, Vizag, Coimbatore"
Next 14
RO 57
"Metro - Delhi, Bangalore, Mumbai, Kolkata , Hyderabad, Pune,  Ahmedabad,  Jaipur, Navi Mumbai, Gurgaon

Non-Metro - Thane, Kanchipuram, Secunderabad, Lucknow, Ghaziabad, Patna, Tiruvallur, Faridabad, Indore, Kochi
"
"Delhi, Hyderabad, Bangalore, Mumbai, Kolkata, Gurgaon, Chennai, Vishakapatnam, Jaipur, Pune, Ahmedabad, Thane, Secunderabad, rajamundhry, guntur,"
"Delhi, Hyderabad, Bangalore, Mumbai, Kolkata, Gurgaon, Chennai, Vishakapatnam, Jaipur, Pune, Ahmedabad, Thane, Secunderabad, rajamundhry, guntur"
Andhra Pradesh
T4
HSM RO T61
South RO T61
HSM T6
South T6
"Metro - Hyderabad, Bangalore, Mumbai, Pune, Delhi, Nagpur, Ahmedabad, Kolkata, Chennai, Gurugram, 
Non Metro - Thane, Kanchipuram, Secunderabad, Vijayawada, Tiruvallur, Guntur, Eluru, Rajahmundhry, Warangal, vadodara, Noida, Faridabad"
"India: Eluru, Guntur, Rajahmundry , Andhra Pradesh; Delhi Delhi; Ahmedabad, Vadodara Gujarat; Faridabad, Gurugram Haryana; Mumbai, Nagpur, Pune, Thane Maharashtra; Bangalore Karnataka; Chennai, Kanchipuram, Tiruvallur Tamil Nadu; Kolkata West Bengal; Noida Uttar Pradesh; Hyderabad, Secunderabad, Warangal Telangana"
"India: Eluru, Guntur, Vijayawada , Delhi , Ahmedabad, Vadodara , Faridabad, Gurugram ,Mumbai, Pune,Thane, Bangalore, Kanchipuram, Tiruvallur , Kolkata , Noida , Hyderabad, Secunderabad, Warangal "
"Eluru, Guntur, Vijayawada , Delhi , Ahmedabad, Vadodara , Faridabad, Gurugram ,Mumbai, Pune,Thane, Bangalore, Kanchipuram, Tiruvallur , Kolkata , Noida , Hyderabad, Secunderabad, Warangal "
" Delhi, Bangalore, Mumbai, Hyderabad, Gurgaon, noida, Pune, Surat, Kolkata, Ahmedabad, Chennai
 Faridabad, Thane, kanchipuram, Secunderabad, Patna, Lucknow, Muzaffarpur, Indore, Guwahati, Karim Nagar, Jaipur, Kochi, Surat, Coimbatore, Amritsar"
"Metro - Delhi, Bangalore, Hyderabad, Mumbai, Pune Kolkata Ahmedabad, Jaipur, Chennai, Gurgaon, Noida, Surat, Navi Mumbai, Visakhapatnam, Nagpur

Non Metro - Thane, Kanchipuram, Secunderabad, Ghaziabad Lucknow, Tiruvallur, Kochi ,Coimbatore, Patna, Ludhiana Rajkot, Kanpur"
"Mumbai, Pune"
"Aurangabad, Nagpur, Nashik, Solapur"
"Amravati, Bhiwandi, Dhule, Jalgaon, Kolhapur, Latur, Malegaon, Nanded Waghala, Sangli, Akola"
"Panjim, Margao"
"Guntur, Vijaywada, Visakhapatnam, Chittoor"
"Anantapur, Kadapa, Kakinada, Kurnool, Rajahmundry, Tirupati, Warangal"
"Agra, Allahabad, Kanpur, Lucknow, Varanasi, Dehradun"
"Aligarh, Bareilly, Firozabad, Gorakhpur, Jhansi, Mathura, Meerut, Moradabad, Muzaffarnagar, Rampur, Saharanpur, Haridwar"
"Aligarh, Bareilly, Firozabad, Gorakhpur, Jhansi, Mathura, Meerut, Moradabad, Muzaffarnagar, Rampur, Saharanpur, Haridwar, Dehradun"
Dehradun
"Coimbatore, Kanchipuram, Madurai, Tiruchirappalli, Tiruppur, Vellore"
"Erode, Puducherry, Salem, Thoothukkudi (Tuticorin), Tirunelveli, Hosur"
"Mysore, Mangalore"
"Belgaum, Bellary, Bijapur, Davanagere, Gulbarga, Hubli-Dharwad"
"Kolkata, Durgapur"
"Asansol, Baharampur, Barddhaman, Dhulian, English Bazar, Raniganj, Siliguri"
"Delhi, Gurgaon, Noida, Ghaziabad, Faridabad"
"Rajkot, Surat, Vadodara"
"Rajkot, Surat, Vadodara, Bhavanagar, Jamnagar"
"Bhavnagar, Jamnagar"
"Kochi, Thiruvananthapuram"
"Cherthala, Kannur, Kayamkulam, Kollam, Kottayam, Kozhikode (Calicut), Malappuram, Thrissur"
"Jaipur, Jodhpur, Kota, Amritsar, Chandigarh, Jalandhar, Ludhiana, Raipur, Patna, Bhubaneshwar"
"Ajmer, Alwar, Bhilwara, Bikaner, Udaipur, Patiala, Bilaspur, Durg-Bhilainagar, Korba, Begusarai, Bhagalpur, Gaya, Muzaffarpur, Purnia, Brahmapur, Cuttack, Rourkela"
"Bhopal, Gwalior, Indore, Jabalpur, Dhanbad, Guwahati"
"Karnal, Panipat, Rohtak, Yamunanagar, Sagar, Ujjain, Bokaro Steel City, Jamshedpur, Ranchi, Imphal, Shillong, Agartala"
1 Mn + Towns
Southern States plus 15k+ devices
1 Mn + Towns Highlights
RO C1 
Goa
Uttar Pradesh
Uttarakhand
P2 Geos (Meta)
"Gandhinagar, Surat"
"Coimbatore, Vizag"
"Metros (minus hyd,chennai)"
"Hyd,chennai"
RO C1 (Minus Coimbatore & Vizag)
Coimbatore & Vizag
Metros 
Delhi+NCR Mumbai+Thane Chennai Kolkata Hyderabad bangalore RO T17 RO T57
"T6 (Delhi NCR, Mumbai + Thane, Bangalore, Hyderabad, Kolkata + NTP, STP , Howrah , Chennai + Kanchipuram )"
RO T60
T4+T6
Bangalore 
Delhi NCR 
RO MH 
Chennai 
RO Cities 
RO South 
RO WB 
"Metro (Minus Hyd,Chennai)"
Hyd & Chennai
T57 HSM
T57 Rest Of Karnataka
T57 Rest of AP & TL
T57 Tamil Nadu
T57 Kerala
P1
P2
Chennai + Kanchipuram
Delhi + NCR
Guntur
Hyderabad 
"Kolkata + NTP, STP, Howrah"
Krishna
Patna
RO T57
Visakhapatnam
RO T17
"RO T10 (Pune, Jaipur, Ahmedabad, Lucknow)"
"T4 (Delhi NCR, Mumbai + Thane, Bangalore, Hyderabad)"
"RO T10 (Chennai, Kolkata, Pune, Jaipur, Ahmedabad, Lucknow)"
Kolkata + Howrah
" Mumbai, Delhi, Bangalore, Hyderabad, Kolkata, Chennai, Pune, Lucknow, Ahmedabad, Kolkata"
Top 10 Metros
HSM
"Metros (Delhi NCR, Mumbai & Bengaluru)"
Karnataka (T57)
AP/TL (T57)
Tamil Nadu (T57)
"Delhi NCR, Mumbai, Bangalore, Kolkata"
Top 10 metros.
"RO T17 (Chennai, Kolkata, Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)"
RO T57 
"T6 (Delhi NCR, Mumbai + Thane, Bangalore, Hyderabad, Kolkata)"
T6 Chennai
P0 + P1
"Metros (Excluding Kol,Mumbai)"
T17
Bangalore Delhi NCR Mumbai Pune Chennai Hyderabad Ernakulam Thiruvananthapuram Thrissur Coimbatore Kolkata
 Maharashtra
 Tamil Nadu 
 AP & Telangana
T4Camp
Bangalore 
Delhi NCR 
Mumbai
Pune 
Chennai 
Ernamkulam 
Tiruvanthapuram 
Hyderabad
Ahmedbad
Jaipur
Thrissur
Coimbatore 
RO Karnataka 
RO MAH 
RO TN 
RO AP + Tel
WB
"T6 (Delhi + NCR, Mumbai + Thane, Bangalore, Hyderabad, Kolkta + Howrah, Chennai)"
Delhi + NCR
Mumbai + Thane
Bangalore
Hyderabad
"Kolkata + NTP, STP, Howrah"
"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)"
Delhi+NCR
Mumbai+Thane
Bangalore
Hyderabad
Kolkata+Howrah
ROT17
Indore
Jaipur
Lucknow
Bangalore
Mumbai
Surat
Mysore
"Delhi NCR (Delhi, Gurgaon, Noida, Faridabad, Ghaziabad)"
DelhiNCR
"Chennai, Kolkata, Ahemadabad, Pune, Hyderabad"
