Publishers
Idiva
Mygate
Glance
Vi-Dsp
Jio
Inmobi
Mcanvas
Mediasmart
One India
Quora
Paytm
Hotstar
Paytm-Impact
Affle
Dailyhunt
PG Display
Hipi
Cheggout
Cricinfo-sizmek
Sharechat sizmek
Sharechat Non-sizmek
VI
DMP
Healthshots
Times Network
Olx
PublicApp  
DSP
IMO
Huella
Infomo
Mxplayer
Vivo
Fbdmp
Bobbleai
Sharechat
Demand Gen
IMO + Xiaomi
Youtube
DSP Gaming
Youtube Shorts
Meta
Pmp CTV
Pmp OTT
Youtube CTV
Nobrokerhood
#Truecaller
Jio Saavn
#Inshorts
Phonepe
Way2news
Digital Turbine
PMP
Viads
ApnaComplex
Josh
Iavatarz
MMT
Samsung TV
OTT Experiment
Moj
Jio Cinema
Wynk
TOI
