Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Watches,,1220060,12944,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Apparel,,6270792,72093,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Bag,,1214986,12922,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Footwear,,4031081,45170,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Handbags,,3914524,44000,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Mens_Apparel,,1219532,12940,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Travel Luggage,,1210637,12661,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_P0_T5_Jewellery,,1099727,12149,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_Dec 23 WRS_P0_T5_Apparel,,6995541,82629,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Travel Luggage,,1092173,11559,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Luxbeauty,,1100148,11778,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Watches,,1097622,11697,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23_WRS_P0_T5_Bag,,19682086,243900,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Footwear,,1103294,11919,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Handbags,,1085850,11547,,,,,,,,,,,,,,,
2023-12-08,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Mens_Apparel,,1100657,11900,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Luxbeauty,,854060,8827,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Jewellery,,21399963,284483,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Watches,,851584,8647,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Apparel,,940942,10545,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Bag,,856305,8849,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Footwear,,868701,9403,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Handbags,,856706,9054,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Mens_Apparel,,853707,8935,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Travel Luggage,,847794,8618,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_P0_T5_Jewellery,,800370,8720,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_Dec 23 WRS_P0_T5_Apparel,,829380,9618,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Travel Luggage,,790744,8052,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Luxbeauty,,792148,8379,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Watches,,793416,8594,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23_WRS_P0_T5_Bag,,19249109,251168,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Footwear,,861298,9116,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Handbags,,787177,8169,,,,,,,,,,,,,,,
2023-12-13,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Mens_Apparel,,793474,8493,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_P0_T5_Jewellery,,1224293,13342,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_Dec 23 WRS_P0_T5_Apparel,,4128767,49729,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Travel Luggage,,1209171,13274,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Luxbeauty,,1215452,13105,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Watches,,1215698,13141,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23_WRS_P0_T5_Bag,,22372778,288382,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Footwear,,1218970,13364,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Handbags,,1203257,12862,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Mens_Apparel,,1218133,13283,,,,,,,,,,,,,,,
,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),,,270985838,3341923,,,,,,,,,,,,,,,
