Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-ohl,"18-45 MF, Non-shoppers,India",16599,,1222,,,,,,5499.0,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-sftln 1,"18-45 MF, Non-shoppers,India",49896,,3673,,,,,,16528.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-sftln 2,"18-45 MF, Non-shoppers,India",56353,,3473,,,,,,15628.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-wlnta,"18-45 MF, Non-shoppers,India",41014,,2995,,,,,,13477.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-cons,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",27144,,1837,,,,,,8266.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-ohl,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",66221,,4084,,,,,,18378.0,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-sftln 1,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",47665,,3657,,,,,,16456.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-sftln 2,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",47878,,3601,,,,,,16204.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-wlnta,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",46911,,2815,,,,,,12667.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-ohl,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",88128,,5435,,,,,,24457.5,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-sftln 1,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",36392,,2792,,,,,,12564.0,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-sftln 2,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",39985,,2812,,,,,,12654.0,,,,,,,,
2023-11-09,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-wlops,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",115677,,6978,,,,,,31401.0,,,,,,,,
