Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-26,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,192445,1709,,,,,,,,,,,,,,,
2023-12-27,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,96006,1133,,,,,,,,,,,,,,,
2023-12-28,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,95611,1101,,,,,,,,,,,,,,,
2023-12-29,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,95304,1132,,,,,,,,,,,,,,,
2023-12-30,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,95341,1155,,,,,,,,,,,,,,,
2023-12-31,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,99895,1160,,,,,,,,,,,,,,,
