Date,Publisher,Campaign Name,Line Item Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35GJT57NMNPACFAMHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152R2_03192024_05312024_NA_GUJARA_MLT_NA,P1 Gujarat T57-Non Metros,51233,,221,,36089,28800,25482,23159,6209.793725,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35GJT57NMNPACOFFHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152R4_03192024_05312024_NA_GUJARA_MLT_NA,P1 Gujarat T57-Non Metros,36231,,151,,26880,21931,19624,18016,4628.659252,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T48,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-UP-T48-NPAC-FAM-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_UTTAR-NA-NA,P0 UP T48,30471,,149,,21790,17797,15984,14755,3416.202591,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T48,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-UP-T48-NPAC-OFF-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_UTTAR-NA-NA,P0 UP T48,18708,,68,,14248,11941,10893,10193,2229.404658,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T48,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35UPT48NPACFAMHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152VD_03192024_05312024_NA_UTTAR_MLT_NA,P0 UP T48,44617,,250,,29554,23080,20227,18395,4747.628284,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T48,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35UPT48NPACOFFHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152VE_03192024_05312024_NA_UTTAR_MLT_NA,P0 UP T48,32967,,152,,23511,18821,16748,15339,3821.090253,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-UP-T57NM-NPAC-FAM-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_UTTAR-NA-NA,P0 UP T57-Non Metros,147198,,719,,107533,88005,79009,72653,16819.57919,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-UP-T57NM-NPAC-OFF-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_UTTAR-NA-NA,P0 UP T57-Non Metros,81902,,402,,63655,53540,48745,45472,9833.533736,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35UPT57NMNPACFAMHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152VB_03192024_05312024_NA_UTTAR_MLT_NA,P0 UP T57-Non Metros,178180,,1067,,120907,94732,83315,75526,18165.897156,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P0 UP T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35UPT57NMNPACOFFHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152VC_03192024_05312024_NA_UTTAR_MLT_NA,P0 UP T57-Non Metros,122833,,711,,88703,71537,63697,58604,13583.29087,,,,,,,,
