Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,CEPC,"18-45 MF, Amz shoppers,India",98963,,4285,,,,,,19282.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,LATV,"18-45 MF, Amz shoppers,India",31994,,1573,,,,,,7078.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,OHL,"18-45 MF, Amz shoppers,India",111551,,4876,,,,,,21942.0,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Softline,"18-45 MF, Amz shoppers,India",10400,,484,,,,,,2178.0,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Wireless,"18-45 MF, Amz shoppers,India",254066,,9451,,,,,,42529.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,CEPC,"18-45 MF, Non-shoppers,India",10509,,473,,,,,,2128.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Consumables,"18-45 MF, Non-shoppers,India",10603,,561,,,,,,2524.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,OHL,"18-45 MF, Non-shoppers,India",97865,,3302,,,,,,14859.0,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Softline,"18-45 MF, Non-shoppers,India",192091,,7455,,,,,,33547.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Wireless,"18-45 MF, Non-shoppers,India",107511,,4171,,,,,,18769.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,CEPC,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",56832,,2032,,,,,,9144.0,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Consumables,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",11659,,579,,,,,,2605.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,OHL,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",50270,,2281,,,,,,10264.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Softline,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",102885,,4171,,,,,,18769.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Wireless,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",56038,,2446,,,,,,11007.0,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,CEPC,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",53421,,2395,,,,,,10777.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,LATV,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",19308,,892,,,,,,4014.0,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,OHL,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",60780,,2618,,,,,,11781.0,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Softline,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",28941,,1159,,,,,,5215.5,,,,,,,,
2023-10-28,Mcanvas,Wave-3,Amz Jupiter 23,Wireless,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",136082,,5706,,,,,,25677.0,,,,,,,,
2023-10-29,Mcanvas,Wave-3,Amz Jupiter 23,CEPC,"18-45 MF, Amz shoppers,India",122605,,4931,,,,,,22189.5,,,,,,,,
2023-10-29,Mcanvas,Wave-3,Amz Jupiter 23,LATV,"18-45 MF, Amz shoppers,India",45088,,2017,,,,,,9076.5,,,,,,,,
2023-10-29,Mcanvas,Wave-3,Amz Jupiter 23,OHL,"18-45 MF, Amz shoppers,India",138347,,5565,,,,,,25042.5,,,,,,,,
2023-10-29,Mcanvas,Wave-3,Amz Jupiter 23,Softline,"18-45 MF, Amz shoppers,India",73119,,2980,,,,,,13410.0,,,,,,,,
2023-10-29,Mcanvas,Wave-3,Amz Jupiter 23,Wireless,"18-45 MF, Amz shoppers,India",305207,,11121,,,,,,50044.5,,,,,,,,
2023-10-29,Mcanvas,Wave-3,Amz Jupiter 23,CEPC,"18-45 MF, Non-shoppers,India",134103,,5189,,,,,,23350.5,,,,,,,,
