Publisher,Date,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Reach,Spends,Accrual Campaign Name,Campaign Name,Device,Engagements
Ventes,2023-10-24,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,444773,7198,N.A,N.A,N.A,N.A,N.A,N.A,32391.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,290336,6021,N.A,N.A,N.A,N.A,N.A,N.A,27095.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,290045,5970,N.A,N.A,N.A,N.A,N.A,N.A,26865.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,289978,6021,N.A,N.A,N.A,N.A,N.A,N.A,27095.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,NTA - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,605368,8912,N.A,N.A,N.A,N.A,N.A,N.A,40104.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,390281,7098,N.A,N.A,N.A,N.A,N.A,N.A,31941.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,390038,7155,N.A,N.A,N.A,N.A,N.A,N.A,32198.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,423289,6355,N.A,N.A,N.A,N.A,N.A,N.A,28598.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,422954,7112,N.A,N.A,N.A,N.A,N.A,N.A,32004.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-25,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,422465,7028,N.A,N.A,N.A,N.A,N.A,N.A,31626.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,271206,3917,N.A,N.A,N.A,N.A,N.A,N.A,17627.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,271225,3747,N.A,N.A,N.A,N.A,N.A,N.A,16862.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,270950,4036,N.A,N.A,N.A,N.A,N.A,N.A,18162.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,NTA - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,777549,13813,N.A,N.A,N.A,N.A,N.A,N.A,62159.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,470111,8488,N.A,N.A,N.A,N.A,N.A,N.A,38196.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,529436,10345,N.A,N.A,N.A,N.A,N.A,N.A,46553.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,477406,8132,N.A,N.A,N.A,N.A,N.A,N.A,36594.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,408330,7241,N.A,N.A,N.A,N.A,N.A,N.A,32585.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-26,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,377687,6403,N.A,N.A,N.A,N.A,N.A,N.A,28814.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,360874,6758,N.A,N.A,N.A,N.A,N.A,N.A,30411.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,42052,935,N.A,N.A,N.A,N.A,N.A,N.A,4207.5,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,272767,5501,N.A,N.A,N.A,N.A,N.A,N.A,24754.5,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,NTA - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,760206,13064,N.A,N.A,N.A,N.A,N.A,N.A,58788.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,503347,8618,N.A,N.A,N.A,N.A,N.A,N.A,38781.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,524553,8678,N.A,N.A,N.A,N.A,N.A,N.A,39051.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,482296,7403,N.A,N.A,N.A,N.A,N.A,N.A,33313.5,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,470623,9144,N.A,N.A,N.A,N.A,N.A,N.A,41148.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-27,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,410805,8870,N.A,N.A,N.A,N.A,N.A,N.A,39915.0,Amz Jupiter 23,Wave-2,,
