Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Mumbai_Jewellery,Mumbai + Thane,15819,155,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Mans Apparel,,146926,1933,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Footwear,,9246,99,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_bag,,225158,3336,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Handbags,,13653,38,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Apparel,,64040,888,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Jewellery,,13118,39,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Luxury and Beauty,,224351,2341,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_Watches,,216601,2223,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_ Banglore_travel luggage,,214522,2731,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Travel luaggage,Kolkata + Howrah,75525,770,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Man Apparel,Kolkata + Howrah,73221,725,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Jewellary,Kolkata + Howrah,73215,792,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Bag,Kolkata + Howrah,64278,639,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Luxury Beauty,Kolkata + Howrah,73428,746,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Apparel,Kolkata + Howrah,64682,735,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Handbags,Kolkata + Howrah,74824,749,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Footwear,Kolkata + Howrah,71286,733,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Kolkata_Watches,Kolkata + Howrah,73267,785,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Footwear,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",180551,1936,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Jewellery,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",176849,2050,,,,,,,,,,,,,,,
