Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_cepc_300x600,Pan India,8151,,338,,,,,,855.855,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_sl_480x320,Pan India,7735,,63,,,,,,812.175,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_ohl_300x600,Pan India,7602,,304,,,,,,798.21,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_sl_300x250,Pan India,7541,,53,,,,,,791.805,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_cons_320x480,Pan India,7420,,121,,,,,,779.1,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_wl_480x320,Pan India,7399,,71,,,,,,776.895,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_cons_300x600,Pan India,7346,,300,,,,,,771.33,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_wl_300x250,Pan India,7329,,64,,,,,,769.545,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_ohl_480x320,Pan India,7170,,60,,,,,,752.85,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_cepc_300x250,Pan India,7041,,50,,,,,,739.305,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_cons_300x600,Pan India,7037,,279,,,,,,738.885,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_cepc_480x320,Pan India,6995,,59,,,,,,734.475,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_ohl_300x250,Pan India,6958,,46,,,,,,730.59,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_cons_320x480,Pan India,6788,,109,,,,,,712.74,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_ohl_480x320,Pan India,6452,,56,,,,,,677.46,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_ohl_300x250,Pan India,6430,,53,,,,,,675.15,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_cons_300x250,Pan India,6375,,43,,,,,,669.375,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_cons_480x320,Pan India,6313,,54,,,,,,662.865,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntanonecom_cons_480x320,Pan India,6278,,73,,,,,,659.19,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsonlineshoppers_cepc_320x480,Pan India,6076,,93,,,,,,637.98,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_wl_320x480,Pan India,6009,,98,,,,,,630.945,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsonlineshoppers_cepc_300x600,Pan India,5925,,238,,,,,,622.125,,,,,,,,
