Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-wlops,"18-45 MF, Amz shoppers,India",195182,,11951,,,,,,53779.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-cepc,"18-45 MF, Non-shoppers,India",60214,,3414,,,,,,15363.0,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-cons,"18-45 MF, Non-shoppers,India",29790,,1819,,,,,,8185.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-ohl,"18-45 MF, Non-shoppers,India",62385,,3509,,,,,,15790.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-sftln,"18-45 MF, Non-shoppers,India",124734,,7241,,,,,,32584.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-wlnta,"18-45 MF, Non-shoppers,India",84947,,5286,,,,,,23787.0,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-cepc,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",62612,,3721,,,,,,16744.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-cons,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",26149,,1656,,,,,,7452.0,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-ohl,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",57471,,3692,,,,,,16614.0,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-sftln,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",112103,,7673,,,,,,34528.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-wlnta,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",82223,,5621,,,,,,25294.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-cepc,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",57696,,3725,,,,,,16762.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-latv,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",26721,,1421,,,,,,6394.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-ohl,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",61704,,3448,,,,,,15516.0,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-sftln,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",69103,,4551,,,,,,20479.5,,,,,,,,
2023-11-01,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-ops-wlops,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",132671,,8610,,,,,,38745.0,,,,,,,,
