Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 990x505,"tamil nadu Excluding chennai, coimbatore","3,445",16,310.05
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 990x505,"tamil nadu Excluding chennai, coimbatore","7,442",17,669.78
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 990x505,"tamil nadu Excluding chennai, coimbatore",761,1,68.49
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 990x505,"tamil nadu Excluding chennai, coimbatore","2,582",8,232.38
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 990x505,"tamil nadu Excluding chennai, coimbatore","33,190",154,2987.1
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 990x505,"tamil nadu Excluding chennai, coimbatore",318,4,28.62
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 600x600,"tamil nadu Excluding chennai, coimbatore","3,725",26,335.25
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 600x600,"tamil nadu Excluding chennai, coimbatore","10,252",79,922.68
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 600x600,"tamil nadu Excluding chennai, coimbatore","27,963",176,2516.67
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 600x600,"tamil nadu Excluding chennai, coimbatore","11,994",50,1079.46
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 600x600,"tamil nadu Excluding chennai, coimbatore","66,182",442,5956.38
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 600x600,"tamil nadu Excluding chennai, coimbatore","15,588",95,1402.92
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 600x600,"tamil nadu Excluding chennai, coimbatore","4,563",51,410.67
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 600x600,"tamil nadu Excluding chennai, coimbatore","3,776",36,339.84
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 600x600,"tamil nadu Excluding chennai, coimbatore","12,551",68,1129.59
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 600x600,"tamil nadu Excluding chennai, coimbatore","11,111",49,999.99
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 600x600,"tamil nadu Excluding chennai, coimbatore","31,105",221,2799.45
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 2 - Pay in 1-click - 600x600,"tamil nadu Excluding chennai, coimbatore","12,907",104,1161.63
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 990x505,"tamil nadu Excluding chennai, coimbatore","3,440",17,309.6
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 990x505,"tamil nadu Excluding chennai, coimbatore","7,594",18,683.46
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 990x505,"tamil nadu Excluding chennai, coimbatore",863,7,77.67
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 990x505,"tamil nadu Excluding chennai, coimbatore","3,503",14,315.27
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 990x505,"tamil nadu Excluding chennai, coimbatore","32,785",159,2950.65
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 4 - Mobile recharge KV - 990x505,"tamil nadu Excluding chennai, coimbatore","3,749",20,337.41
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 990x505,"tamil nadu Excluding chennai, coimbatore","3,636",23,327.24
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 990x505,"tamil nadu Excluding chennai, coimbatore","26,215",70,2359.35
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 990x505,"tamil nadu Excluding chennai, coimbatore",506,2,45.54
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 990x505,"tamil nadu Excluding chennai, coimbatore","13,032",55,1172.88
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 990x505,"tamil nadu Excluding chennai, coimbatore","47,387",254,4264.83
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set1 - Bill Payment - 990x505,"tamil nadu Excluding chennai, coimbatore","6,284",25,565.56
