Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 1080x2592,"andhra pradesh,telangana excluding hyderabad",325,15,29.25
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 600x600,"andhra pradesh,telangana excluding hyderabad","3,715",33,334.35
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 600x600,"andhra pradesh,telangana excluding hyderabad","10,018",100,901.62
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 600x600,"andhra pradesh,telangana excluding hyderabad","57,949",553,5215.41
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 600x600,"andhra pradesh,telangana excluding hyderabad","27,284",232,2455.56
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 2 - Recharge - 600x600,"andhra pradesh,telangana excluding hyderabad","18,581",175,1672.29
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 600x600,"andhra pradesh,telangana excluding hyderabad","20,352",209,1831.68
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 600x600,"andhra pradesh,telangana excluding hyderabad","19,686",161,1771.74
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 600x600,"andhra pradesh,telangana excluding hyderabad","275,719",3907,24814.71
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 600x600,"andhra pradesh,telangana excluding hyderabad","211,803",1676,19062.27
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 600x600,"andhra pradesh,telangana excluding hyderabad","62,843",564,5655.87
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 990x505,"andhra pradesh,telangana excluding hyderabad","17,113",124,1540.17
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 990x505,"andhra pradesh,telangana excluding hyderabad","9,191",86,827.19
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 990x505,"andhra pradesh,telangana excluding hyderabad","81,838",647,7365.42
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_RO AP + Tel_2023-10-20_2023-10-30,AP_Tel - Set 1 - Bill Payment - 990x505,"andhra pradesh,telangana excluding hyderabad","22,677",151,2040.93
